,Address,Price,Locality,Beds,Area,Half Baths,Full Baths,Lot Size
0,"<span class=""propAddressCollapse"" title=""0 Gateway"">0 Gateway</span>","$725,000",,,,,,
1,"<span class=""propAddressCollapse"" title=""1003 Winchester Blvd."">1003 Winchester Blvd.</span>","$452,900",,,,,,0.21 Acres
2,"<span class=""propAddressCollapse"" title=""600 Talladega"">600 Talladega</span>","$396,900",,,,,,
3,"<span class=""propAddressCollapse"" title=""3239 Spearhead Way"">3239 Spearhead Way</span>","$389,900",,,,,,"Under 1/2 Acre, "
4,"<span class=""propAddressCollapse"" title=""522 Emerald Street"">522 Emerald Street</span>","$254,000",,,,,,"Under 1/2 Acre, "
5,"<span class=""propAddressCollapse"" title=""1302 Veteran's Drive"">1302 Veteran's Drive</span>","$252,900",,,,,,0.27 Acres
6,"<span class=""propAddressCollapse"" title=""1021 Cypress Cir"">1021 Cypress Cir</span>","$210,000",,,,,,"Under 1/2 Acre, "
7,"<span class=""propAddressCollapse"" title=""913 Madison Dr"">913 Madison Dr</span>","$209,000",,,,,,"Under 1/2 Acre, "
8,"<span class=""propAddressCollapse"" title=""1344 Teton Street"">1344 Teton Street</span>","$199,900",,,,,,"Under 1/2 Acre, "
9,"<span class=""propAddressCollapse"" title=""4 Minnies Lane"">4 Minnies Lane</span>","$196,900",,,,,,2.02 Acres
10,"<span class=""propAddressCollapse"" title=""9339 Sd 26900"">9339 Sd 26900</span>","$1,700,000",,,,,,
11,"<span class=""propAddressCollapse"" title=""RR674P13 Hwy 377"">RR674P13 Hwy 377</span>","$1,100,000",,,,,,
12,"<span class=""propAddressCollapse"" title=""0 Hwy 41"">0 Hwy 41</span>","$1,080,000",,,,,,
13,"<span class=""propAddressCollapse"" title=""9339 Sd 26900"">9339 Sd 26900</span>","$908,350",,,,,,
14,"<span class=""propAddressCollapse"" title=""CR450 Hwy 377"">CR450 Hwy 377</span>","$905,000",,,,,,
15,"<span class=""propAddressCollapse"" title=""Cr 240 Cr 240"">Cr 240 Cr 240</span>","$695,000",,,,,,
16,"<span class=""propAddressCollapse"" title=""RR674 Hwy 377"">RR674 Hwy 377</span>","$605,000",,,,,,
17,"<span class=""propAddressCollapse"" title=""9770a Sd 26900"">9770a Sd 26900</span>","$559,805",,,,,,
18,"<span class=""propAddressCollapse"" title=""Lot17 CR 2630"">Lot17 CR 2630</span>","$504,000",,,,,,
19,"<span class=""propAddressCollapse"" title=""Tr12,16 CR 520"">Tr12,16 CR 520</span>","$410,000",,,,,,
20,"<span class=""propAddressCollapse"" title=""32575 S Shadow Mountain Road"">32575 S Shadow Mountain Road</span>","$299,900",,,,,,
21,"<span class=""propAddressCollapse"" title=""32750 S Shangrila Drive"">32750 S Shangrila Drive</span>","$167,500",,,,,,
22,"<span class=""propAddressCollapse"" title=""0000 Black Canyon Highway"">0000 Black Canyon Highway</span>","$150,000",,,,,,5 Acres
23,"<span class=""propAddressCollapse"" title=""34775 S CHOLLA Drive"">34775 S CHOLLA Drive</span>","$129,500",,,,,,
24,"<span class=""propAddressCollapse"" title=""33403 S. HA-WA-SI TERRACE"">33403 S. HA-WA-SI TERRACE</span>","$129,000",,,,,,
25,"<span class=""propAddressCollapse"" title=""34263 S Bertha Street"">34263 S Bertha Street</span>","$80,000",,,,,,
26,"<span class=""propAddressCollapse"" title=""33160 S Canyon Road"">33160 S Canyon Road</span>","$77,900",,,,,,
27,"<span class=""propAddressCollapse"" title=""19421 E Todd Evans Road"">19421 E Todd Evans Road</span>","$70,500",,,,,,
28,"<span class=""propAddressCollapse"" title=""18688 E AGUA Vista"">18688 E AGUA Vista</span>","$70,000",,,,,,0.7 Acres
29,"<span class=""propAddressCollapse"" title=""50600 N Old Black Canyon Road"">50600 N Old Black Canyon Road</span>","$67,500",,,,,,3 Acres
30,"<span class=""propAddressCollapse"" title=""20101 E SQUAW VALLEY Road"">20101 E SQUAW VALLEY Road</span>","$54,900",,,,,,
31,"<span class=""propAddressCollapse"" title=""33259 S Canyon Road"">33259 S Canyon Road</span>","$45,600",,,,,,
32,"<span class=""propAddressCollapse"" title=""34558 S ROADRUNNER RD"">34558 S ROADRUNNER RD</span>","$40,000",,,,,,Under 1/2 Acre
33,"<span class=""propAddressCollapse"" title=""19260 E Scenic Loop Road"">19260 E Scenic Loop Road</span>","$30,000",,,,,,2.35 Acres
34,"<span class=""propAddressCollapse"" title=""19000 E MAREN Avenue"">19000 E MAREN Avenue</span>","$29,000",,,,,,2.05 Acres
35,"<span class=""propAddressCollapse"" title=""19350 E SAGUARO Drive"">19350 E SAGUARO Drive</span>","$28,995",,,,,,0.73 Acres
36,"<span class=""propAddressCollapse"" title=""20650 E Amethyst Place"">20650 E Amethyst Place</span>","$15,000",,,,,,0.31 Acres
